standard.orth	phonetic.orth	standard.phones	zipf	fpmw
accountancy	accoontancy	AH0 K AW1 N T AH0 N S IY0	3.1	1.261575200809
empowered	empooered	IH2 M P AW1 ER0 D	3.1	1.24667470631125
fouled	fooled	F AW1 L D	3.1	1.2516415378105
growl	grool	G R AW1 L	3.1	1.2516415378105
outlining	ootlining	AW1 T L AY2 N IH0 NG	3.1	1.2516415378105
prowl	prool	P R AW1 L	3.1	1.261575200809
devout	devoot	D IH0 V AW1 T	3.09	1.23177421181351
empowering	empooering	IH2 M P AW1 ER0 IH0 NG	3.09	1.23177421181351
moussa	moossa	M AW1 S AH0	3.09	1.23674104331276
blouse	bloose	B L AW1 S	3.08	1.20197322281802
downgrade	doongrade	D AW1 N G R EY0 D	3.08	1.20197322281802
uptown	uptoon	AH1 P T AW1 N	3.08	1.18707272832028
grounding	groonding	G R AW1 N D AH0 N	3.07	1.18210589682103
astounded	astoonded	AH0 S T AW1 N D AH0 D	3.06	1.15230490782554
cowardly	cooardly	K AW1 ER0 D L IY0	3.06	1.1374044133278
empower	empooer	IH2 M P AW1 ER0	3.06	1.15727173932479
mountainous	moontainous	M AW1 N T AH0 N AH0 S	3.06	1.15727173932479
scoured	scoored	S K AW1 ER0 D	3.06	1.13243758182855
townsend	toonsend	T AW1 N Z AH0 N D	3.06	1.15230490782554
downloading	doonloading	D AW1 N L OW2 D IH0 NG	3.05	1.10760342433231
householders	hooseholders	HH AW1 S HH OW2 L D ER0 Z	3.05	1.11257025583156
powerfully	pooerfully	P AW1 ER0 F L IY0	3.05	1.1274707503293
shrouded	shrooded	SH R AW1 D AH0 D	3.05	1.10760342433231
aground	agroond	AH0 G R AW1 N D	3.04	1.10263659283306
counters	coonters	K AW1 N T ER0 Z	3.04	1.08773609833532
rounder	roonder	R AW1 N D ER0	3.04	1.08773609833532
outburst	ootburst	AW1 T B ER2 S T	3.03	1.06786877233832
scouse	scoose	S L AW1 S	3.03	1.05793510933983
superpowers	superpooers	S UW2 P ER0 P AW1 ER0 Z	3.03	1.07283560383757
crowley	crooley	K R AW1 L IY0	3.02	1.04303461484208
howler	hooler	HH AW1 L ER0	3.02	1.03806778334284
outweigh	ootweigh	AW1 T W EY2	3.02	1.03806778334284
bowing	booing	B AW1 IH0 NG	3.01	1.02316728884509
downright	doonright	D AW1 N R AY2 T	3.01	1.0132336258466
hourly	hoorly	AW1 R L IY0	3.01	1.02813412034434
chow	choo	CH AW1	3	1.0032999628481
aroused	aroosed	ER0 AW1 Z D	2.99	0.963565310854116
boulton	boolton	B AW1 L T AH0 N	2.99	0.963565310854116
foundry	foondry	F AW1 N D R IY0	2.99	0.983432636851108
mowing	mooing	M AW1 IH0 NG	2.99	0.983432636851108
overpower	overpooer	OW2 V ER0 P AW1 ER0	2.99	0.97846580535186
gowns	goons	G AW1 N Z	2.98	0.948664816356372
township	toonship	T AW1 N SH IH2 P	2.98	0.948664816356372
clouded	clooded	K L AW1 D AH0 D	2.97	0.938731153357876
frowned	frooned	F R AW1 N D	2.97	0.938731153357876
outdone	ootdone	AW1 T D AH1 N	2.97	0.923830658860132
outlawed	ootlawed	AW1 T L AO2 D	2.97	0.938731153357876
amounted	amoonted	AH0 M AW1 N AH0 D	2.96	0.90396333286314
housekeeping	hoosekeeping	HH AW1 S K IY2 P IH0 NG	2.96	0.90396333286314
mouthed	moothed	M AW1 DH D	2.96	0.908930164362388
owt	oot	AW1 T	2.96	0.898996501363892
sprouting	sprooting	S P R AW1 T IH0 NG	2.95	0.889062838365396
cowards	cooards	K AW1 ER0 D Z	2.94	0.859261849369908
townhouse	toonhouse	T AW1 N HH AW2 S	2.94	0.864228680869156
bouncers	booncers	B AW1 N S ER0 Z	2.93	0.85429501787066
outlines	ootlines	AW1 T L AY2 N Z	2.93	0.844361354872164
outpost	ootpost	AW1 T P OW2 S T	2.93	0.85429501787066
vouch	vooch	V AW1 CH	2.93	0.844361354872164
downer	dooner	D AW1 N ER0	2.92	0.834427691873668
outreach	ootreach	AW1 T R IY2 CH	2.92	0.824494028875172
showered	shooered	SH AW1 ER0 D	2.92	0.834427691873668
browned	brooned	B R AW1 N D	2.91	0.799659871378931
brownfield	broonfield	B R AW1 N F IY2 L D	2.91	0.814560365876676
compounded	compoonded	K AH0 M P AW1 N D AH0 D	2.91	0.814560365876676
denounced	denoonced	D AH0 N AW1 N S T	2.91	0.809593534377428
downey	dooney	D AW1 N IY0	2.91	0.80462670287818
howie	hooie	HH AW1 IY0	2.91	0.809593534377428
recount	recoont	R IH0 K AW1 N T	2.91	0.814560365876676
spouse	spoose	S P AW1 S	2.91	0.799659871378931
unfounded	unfoonded	AH0 N F AW1 N D AH0 D	2.91	0.799659871378931
pounced	poonced	P AW1 N S T	2.9	0.789726208380436
bouts	boots	B AW1 T S	2.89	0.764892050884195
scoundrels	scoondrels	S K AW1 N D R AH0 L Z	2.89	0.779792545381939
vowel	vooel	V AW1 AH0 L	2.89	0.774825713882691
doubters	doobters	D AW1 T ER0 Z	2.88	0.749991556386451
flowered	flooered	F L AW1 ER0 D	2.88	0.759925219384947
mouthing	moothing	M AW1 DH IH0 NG	2.88	0.759925219384947
ousted	oosted	AW1 S T AH0 D	2.88	0.759925219384947
rounders	roonders	R AW1 N D ER0 Z	2.88	0.754958387885699
brough	broogh	B R AW1	2.87	0.730124230389459
doubtless	doobtless	D AW1 T L AH0 S	2.87	0.740057893387955
rouse	roose	R AW1 Z	2.87	0.745024724887203
scoundrel	scoondrel	S K AW1 N D R AH0 L	2.87	0.745024724887203
unannounced	unannoonced	AH2 N AH0 N AW1 N S T	2.87	0.745024724887203
yow	yoo	Y AW1	2.86	0.715223735891715
downpours	doonpours	D AW1 N P AO2 R Z	2.85	0.705290072893219
pounded	poonded	P AW1 N D AH0 D	2.85	0.710256904392467
pout	poot	P AW1 T	2.85	0.705290072893219
countenance	coontenance	K AW1 N T AH0 N AH0 N S	2.84	0.690389578395475
crowding	crooding	K R AW1 D IH0 NG	2.84	0.680455915396979
growls	grools	G R AW1 L Z	2.84	0.695356409894723
householder	hooseholder	HH AW1 S HH OW2 L D ER0	2.84	0.680455915396979
